City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-08-02 03:19:00,41.3712,-73.414,70.11,94,0,0.0
1,Upernavik,GL,2022-08-02 03:19:00,72.7868,-56.1549,44.76,73,100,3.65
2,Draguignan,FR,2022-08-02 03:19:01,43.5333,6.4667,71.01,75,21,2.3
3,Kukushtan,RU,2022-08-02 03:19:01,57.6464,56.4952,60.42,72,35,5.73
4,Sola,VU,2022-08-02 03:19:02,-13.8833,167.55,80.71,78,15,16.42
5,Belyy Yar,RU,2022-08-02 03:19:02,53.6039,91.3903,69.69,73,20,4.47
6,Millinocket,US,2022-08-02 03:19:03,45.6573,-68.7098,71.71,73,0,5.75
7,Tuensang,IN,2022-08-02 03:19:03,26.2833,94.8333,75.06,96,99,0.16
8,Mandera,KE,2022-08-02 03:19:03,3.9366,41.867,74.86,60,68,15.14
9,Piranshahr,IR,2022-08-02 03:19:04,36.701,45.1413,74.3,29,0,1.59
10,Estelle,US,2022-08-02 03:19:04,29.8458,-90.1067,77.0,86,75,5.75
11,Marsa Matruh,EG,2022-08-02 03:15:10,31.3525,27.2453,78.12,84,0,11.59
12,Busselton,AU,2022-08-02 03:19:05,-33.65,115.3333,54.39,68,94,25.39
13,Atuona,PF,2022-08-02 03:19:05,-9.8,-139.0333,77.81,70,25,15.41
14,Airai,TL,2022-08-02 03:19:05,-8.9266,125.4092,74.86,38,56,3.44
15,Kashi,CN,2022-08-02 03:19:06,39.4547,75.9797,76.21,50,75,2.24
16,Lebu,CL,2022-08-02 03:19:06,-37.6167,-73.65,45.59,84,2,11.36
17,Port Elizabeth,ZA,2022-08-02 03:19:07,-33.918,25.5701,47.32,86,0,1.99
18,Los Llanos De Aridane,ES,2022-08-02 03:19:07,28.6585,-17.9182,68.13,92,0,17.27
19,Inuvik,CA,2022-08-02 03:15:05,68.3499,-133.7218,66.96,59,75,9.22
20,Marawi,PH,2022-08-02 03:19:08,7.9986,124.2928,79.45,71,99,4.16
21,Timbiqui,CO,2022-08-02 03:19:08,2.7717,-77.6654,74.43,95,88,4.38
22,Praia,CV,2022-08-02 03:19:09,14.9215,-23.5087,73.94,83,20,1.14
23,Alekseyevsk,RU,2022-08-02 03:19:09,57.8406,108.3492,77.4,60,43,4.56
24,Geraldton,AU,2022-08-02 03:19:10,-28.7667,114.6,64.81,63,75,17.27
25,New Norfolk,AU,2022-08-02 03:19:10,-42.7826,147.0587,55.92,54,44,9.44
26,Mugur-Aksy,RU,2022-08-02 03:19:10,50.35,90.5,60.37,49,6,5.23
27,Necochea,AR,2022-08-02 03:19:11,-38.5473,-58.7368,51.17,81,100,8.1
28,Alfonsine,IT,2022-08-02 03:19:11,44.5061,12.0564,80.96,79,100,14.0
29,Bitlis,TR,2022-08-02 03:19:12,38.5,42.25,64.35,34,0,4.5
30,Copiapo,CL,2022-08-02 03:16:27,-27.3667,-70.3333,51.49,76,7,1.45
31,Gat,IL,2022-08-02 03:19:12,31.61,34.7642,76.41,100,1,3.27
32,Durango,MX,2022-08-02 03:18:52,24.8333,-104.8333,64.72,65,98,6.78
33,Yumen,CN,2022-08-02 03:19:13,40.2833,97.2,74.7,46,85,10.36
34,Saint-Philippe,RE,2022-08-02 03:19:13,-21.3585,55.7679,67.59,74,0,2.62
35,Borujerd,IR,2022-08-02 03:19:14,33.8973,48.7516,70.03,47,0,0.63
36,Tasiilaq,GL,2022-08-02 03:19:14,65.6145,-37.6368,42.96,62,3,3.67
37,Ihosy,MG,2022-08-02 03:19:15,-22.4,46.1167,59.76,79,96,12.91
38,Ushuaia,AR,2022-08-02 03:19:15,-54.8,-68.3,47.86,57,20,16.11
39,Severo-Kurilsk,RU,2022-08-02 03:19:15,50.6789,156.125,56.37,81,23,4.07
40,Port Alfred,ZA,2022-08-02 03:19:16,-33.5906,26.891,55.22,67,49,9.62
41,Nichinan,JP,2022-08-02 03:19:16,31.6,131.3667,85.68,70,92,6.87
42,Balkhash,KZ,2022-08-02 03:19:17,46.844,74.9804,77.61,44,0,13.42
43,Bluff,NZ,2022-08-02 03:19:17,-46.6,168.3333,54.48,66,6,25.88
44,Albany,US,2022-08-02 03:15:08,42.6001,-73.9662,73.81,76,24,3.27
45,Katangli,RU,2022-08-02 03:20:18,51.7102,143.2326,58.26,84,100,10.33
46,Salalah,OM,2022-08-02 03:20:19,17.0151,54.0924,75.29,100,100,6.91
47,Santiago Del Estero,AR,2022-08-02 03:20:19,-27.7951,-64.2615,63.73,48,2,8.41
48,Norman Wells,CA,2022-08-02 03:20:20,65.282,-126.8329,71.64,40,40,16.11
49,Kaitangata,NZ,2022-08-02 03:20:21,-46.2817,169.8464,55.54,56,22,11.18
50,Cayenne,GF,2022-08-02 03:20:21,4.9333,-52.3333,82.09,1,0,1.14
51,Nikolskoye,RU,2022-08-02 03:20:22,59.7035,30.7861,66.87,97,100,9.01
52,Lata,PT,2022-08-02 03:20:22,40.1629,-8.3327,66.09,75,0,1.36
53,East London,ZA,2022-08-02 03:20:17,-33.0153,27.9116,50.94,71,0,1.14
54,Namibe,AO,2022-08-02 03:20:23,-15.1961,12.1522,55.47,66,86,8.95
